county_of_program_location,county_code
Albany,AL
Cattaraugus,CA
Chenango,CN
Delaware,DE
Franklin,FR
Hamilton,HA
Lewis,LE
Montgomery,MG
Oneida,ON
Orleans,OL
Queens,NY
St. Lawrence,SL
Schuyler,SY
Sullivan,SV
Warren,WR
Wyoming,WY
Allegany,AG
Cayuga,CY
Clinton,CL
Dutchess,DU
Fulton,FU
Herkimer,HE
Livingston,LI
Nassau,NA
Onondaga,OD
Oswego,OS
Rensselaer,RE
Saratoga,SA
Seneca,SE
Tioga,TI
Washington,WS
Yates,YA
Bronx,NY
Chautauqua,CH
Columbia,CO
Erie,ER
Genesee,GE
Jefferson,JE
Madison,MA
New York (City),NY
Ontario,OT
Otsego,OG
Richmond,NY
Schenectady,SC
Steuben,ST
Tompkins,TO
Wayne,WA
Broome,BM
Chemung,CM
Cortland,CR
Essex,ES
Greene,GR
Kings,NY
Monroe,MO
Niagara,NI
Orange,OR
Putnam,PU
Rockland,RO
Schoharie,SH
Suffolk,SU
Ulster,UL
Westchester,WE
